,name
173,"D 174 400008 Crystal Tower,Arab Lane,M .T Ansari Marg,Grant Road"
174,"D 175 400026 Shyam Niwas Building,Bhulabai Desai Road,Breach Candy Hospital,Cumballa Hil"
175,"D 176 400026 Vallabh Apartment,Bhulabai Desai Road,Breach Candy Hospital,Cumballa Hill"
176,"D 177 400026 Stable Building,Bhulabhai Desai Rd,Breach Candy Hospital,Malbar Hill"
177,"D 178 400026 Darya Sagar Zopadapai,B.D Road,Mahalaxmi Congested Area"
178,"D 179 400026 It Colony,Off Pedder Road,Cumbala Hill"
179,"D 180 400026 Shirpal Nagar,J Mehta Marg,Rangatha Lane"
180,"D 181 400034 Dmd Jhopadpatti,Tardeo Rd,Tulsiwadi,Tardeo Congested Area"
181,"D 182 400034 Tulsiwadi Zopadpatti,Bhanjibhai Rathod Marg,Mata Mandir,Tardeo Congested Area"
182,"D 183 400034 A1 Bldg,Ambedkar Nagar,Tardeo"
183,"D 184 400034 Tulsiwadi Zopadpatti,B R Marg,Tulsiwadi Congested Area"
184,"D 185 400034 Tulsiwadi Zopadpatti,Behind Post Office,Tulsiwadi Congested Area"
185,"D 186 400034 R.T.O Chana Shop,Near Tardeo Rto,Tardeo"
186,"D 187 400034 Ashirwad Bldg,Tardeo Raod,Mumbai Central,Janata Nagar"
187,"D 188 400034 Gandhi Mansion,Wadia Streer,Tardeo,Tardeo"
188,"D 189 400034 Bldg No 7,Tardeo Road,Tardeo Police Camp,Tradeo"
189,"D 190 400034 Germen Darshan,Ac Market,Tradeo"
190,"D 191 400034 Ambika Bhavan,Wadia Street,Tardeo"
191,"D 192 400034 Bldg No 6 Arya Nagar,Tulsiwadi,Tardeo"
192,"D 193 400034 Rtp Lane,Tulsiwadi,Tardeo"
193,"D 194 400034 Bhanjibhai Rathod Marg,Tulsiwadi,Tardeo"
194,"D 195 400034 Transit Camp No 10,Tulsiwadi,Tardeo Congested Area"
195,"D 196 400034 New Jaiphalwadi,Tardeo,Tardeo"
196,"D 197 400034 Shiv Darshan Bldg,M P Mill Compound,Tardeo"
197,"D 198 400036 Godreg Baug,Napean Sea Rd,Napean Sea Rd"
198,"D 199 400036 Caswasji Bhedwar (Dhobighat) Chawl,Forjett Street,Grant Road West,Grant Road West Congested Area"
199,"D 200 400036 Anurag Bldg,B D Road,"
200,"E 201 400008 Bmc Bldg.,Chandramani Buddhvihar Marg,Two Tank,Kamathipura"
201,"E 202 400008 666 Tenament,B J Marg,Jocob Circle,Byculla Congested Area"
202,"E 203 400008 Shirinbhai Chawl,Morland Road,Mumbai Central"
203,"E 204 400008 Patra Chawl,B. J. Marg,Byculla"
204,"E 205 400008 Nayee Chawl,3Rd Ghelabhai Lane,Mandapura Congested Area"
205,"E 206 400008 7Th Lane,Kamathipura Congested Area"
206,"E 207 400008 Kasam Hathi Chawl,Kamathipura 1St Lane,Kamathipura Congested Area"
207,"E 208 400008 Bambkhana,M.A. Road,Kamathipura(Eye Hospital),Kamathipura"
